Time (s),Temperature (K),Mass (mg)
0,313.02,5.0313
2.4,313.024,5.0314
4.8,313.022,5.0315
7.2,313.018,5.0316
9.6,313.018,5.0317
12,313.017,5.0319
14.4,313.031,5.0321
16.8,313.024,5.0321
19.2,313.043,5.0322
21.6,313.06,5.0322
24,313.049,5.0323
26.4,313.05,5.0324
28.8,313.065,5.0324
31.2,313.081,5.0325
33.6,313.088,5.0324
36,313.092,5.0323
38.4,313.129,5.0314
40.8,313.156,5.0317
43.2,313.182,5.0318
45.6,313.198,5.0318
48,313.243,5.0325
50.4,313.279,5.0336
52.8,313.294,5.0345
55.2,313.349,5.0351
57.6,313.385,5.0353
60,313.436,5.0356
62.4,313.487,5.0356
64.8,313.523,5.0346
67.2,313.594,5.0345
69.6,313.658,5.0349
72,313.712,5.0349
74.4,313.788,5.0346
76.8,313.853,5.0348
79.2,313.939,5.0354
81.6,314.018,5.0362
84,314.111,5.0351
86.4,314.209,5.0333
88.8,314.299,5.0335
91.2,314.398,5.0339
93.6,314.527,5.0344
96,314.63,5.0345
98.4,314.752,5.034
100.8,314.879,5.0339
103.2,315,5.0345
105.6,315.134,5.035
108,315.268,5.0339
110.4,315.425,5.034
112.8,315.578,5.0344
115.2,315.729,5.0339
117.6,315.891,5.0339
120,316.042,5.0335
122.4,316.219,5.0332
124.8,316.413,5.0339
127.2,316.596,5.0335
129.6,316.763,5.0336
132,316.976,5.0342
134.4,317.181,5.035
136.8,317.378,5.0356
139.2,317.608,5.0357
141.6,317.83,5.0352
144,318.043,5.0357
146.4,318.288,5.0349
148.8,318.51,5.0344
151.2,318.78,5.0355
153.6,319.03,5.0357
156,319.284,5.0354
158.4,319.544,5.0367
160.8,319.821,5.0361
163.2,320.103,5.0345
165.6,320.395,5.0347
168,320.68,5.0348
170.4,320.958,5.0341
172.8,321.289,5.0338
175.2,321.596,5.0337
177.6,321.904,5.0338
180,322.215,5.0343
182.4,322.537,5.0337
184.8,322.866,5.0333
187.2,323.198,5.0331
189.6,323.541,5.0331
192,323.894,5.0319
194.4,324.247,5.032
196.8,324.603,5.0322
199.2,324.992,5.0316
201.6,325.354,5.031
204,325.723,5.0319
206.4,326.121,5.0321
208.8,326.493,5.0318
211.2,326.893,5.0308
213.6,327.272,5.0309
216,327.685,5.0306
218.4,328.107,5.0308
220.8,328.509,5.0313
223.2,328.919,5.0315
225.6,329.362,5.032
228,329.77,5.0323
230.4,330.205,5.0322
232.8,330.635,5.0321
235.2,331.075,5.0321
237.6,331.515,5.0314
240,331.966,5.0304
242.4,332.419,5.03
244.8,332.875,5.0297
247.2,333.336,5.0292
249.6,333.782,5.0295
252,334.266,5.0296
254.4,334.713,5.0292
256.8,335.221,5.029
259.2,335.695,5.0295
261.6,336.178,5.0298
264,336.662,5.0302
266.4,337.155,5.0302
268.8,337.629,5.0292
271.2,338.139,5.0283
273.6,338.633,5.0275
276,339.141,5.027
278.4,339.638,5.0263
280.8,340.142,5.0265
283.2,340.65,5.0265
285.6,341.158,5.026
288,341.676,5.0253
290.4,342.19,5.025
292.8,342.71,5.0253
