Time (s),Temperature (K),Mass (mg)
295.2,343.219,5.0258
297.6,343.723,5.0259
300,344.259,5.026
302.4,344.786,5.0265
304.8,345.306,5.0269
307.2,345.827,5.0271
309.6,346.346,5.0273
312,346.879,5.027
314.4,347.406,5.0271
316.8,347.947,5.0269
319.2,348.476,5.0264
321.6,349.02,5.0259
324,349.554,5.0256
326.4,350.083,5.0251
328.8,350.634,5.0246
331.2,351.161,5.0241
333.6,351.701,5.0239
336,352.231,5.0235
338.4,352.769,5.0231
340.8,353.319,5.0229
343.2,353.858,5.0225
345.6,354.38,5.0225
348,354.935,5.0226
350.4,355.478,5.023
352.8,356.025,5.0236
355.2,356.549,5.0241
357.6,357.104,5.0245
360,357.653,5.024
362.4,358.189,5.0234
364.8,358.741,5.0231
367.2,359.268,5.023
369.6,359.82,5.023
372,360.367,5.023
374.4,360.909,5.023
376.8,361.447,5.023
379.2,361.996,5.023
381.6,362.551,5.023
384,363.084,5.023
386.4,363.621,5.0229
388.8,364.175,5.0223
391.2,364.72,5.0211
393.6,365.248,5.0201
396,365.811,5.0196
398.4,366.34,5.0195
400.8,366.896,5.0194
403.2,367.44,5.0191
405.6,367.968,5.0186
408,368.503,5.0185
410.4,369.057,5.0183
412.8,369.599,5.0183
415.2,370.132,5.0183
417.6,370.677,5.0183
420,371.211,5.0184
422.4,371.765,5.0185
424.8,372.289,5.0186
427.2,372.826,5.0187
429.6,373.366,5.0188
432,373.888,5.0189
434.4,374.433,5.019
436.8,374.969,5.0191
439.2,375.501,5.0192
441.6,376.019,5.0192
444,376.562,5.0193
446.4,377.09,5.0193
448.8,377.615,5.0193
451.2,378.148,5.0193
453.6,378.682,5.0193
456,379.199,5.0193
458.4,379.722,5.0193
460.8,380.252,5.0193
463.2,380.76,5.0192
465.6,381.291,5.0191
468,381.817,5.019
470.4,382.326,5.0189
472.8,382.854,5.0188
475.2,383.349,5.0187
477.6,383.885,5.0186
480,384.394,5.0186
482.4,384.908,5.0185
484.8,385.422,5.0185
487.2,385.937,5.0184
489.6,386.437,5.0184
492,386.95,5.0182
494.4,387.466,5.0182
496.8,387.969,5.018
499.2,388.472,5.0178
501.6,388.975,5.0176
504,389.476,5.0174
506.4,389.989,5.0164
508.8,390.485,5.0155
511.2,390.985,5.0149
513.6,391.485,5.0143
516,391.982,5.0138
518.4,392.487,5.0135
520.8,392.991,5.0133
523.2,393.486,5.0132
525.6,393.986,5.0131
528,394.471,5.013
530.4,394.977,5.013
532.8,395.464,5.013
535.2,395.959,5.013
537.6,396.452,5.013
540,396.938,5.013
542.4,397.434,5.013
544.8,397.919,5.0144
547.2,398.403,5.0151
549.6,398.89,5.0153
552,399.384,5.0154
554.4,399.875,5.0155
556.8,400.353,5.0157
559.2,400.832,5.0158
561.6,401.31701,5.0159
564,401.811,5.016
566.4,402.28901,5.0162
568.8,402.77801,5.0163
571.2,403.266,5.0164
573.6,403.74599,5.0165
576,404.228,5.0167
578.4,404.70901,5.0168
580.8,405.17499,5.0169
583.2,405.658,5.017
585.6,406.145,5.017
588,406.624,5.017
590.4,407.101,5.017
592.8,407.57599,5.017
595.2,408.03499,5.017
597.6,408.518,5.017
600,409.003,5.0169
602.4,409.486,5.0169
604.8,409.95099,5.0168
607.2,410.422,5.0164
609.6,410.883,5.0151
612,411.36201,5.0146
614.4,411.837,5.0145
616.8,412.309,5.0143
619.2,412.768,5.0143
621.6,413.236,5.0141
624,413.70701,5.014
626.4,414.17,5.0138
628.8,414.643,5.0138
631.2,415.113,5.0138
633.6,415.56499,5.0138
636,416.04101,5.0138
638.4,416.508,5.0138
640.8,416.962,5.0143
643.2,417.433,5.0146
645.6,417.887,5.0148
648,418.346,5.015
650.4,418.808,5.0151
652.8,419.264,5.0151
655.2,419.732,5.015
657.6,420.185,5.015
660,420.656,5.0149
662.4,421.103,5.0148
664.8,421.577,5.0147
667.2,422.03,5.0147
669.6,422.48299,5.0146
672,422.921,5.0145
674.4,423.368,5.0145
676.8,423.82,5.0145
679.2,424.288,5.0145
681.6,424.742,5.0145
684,425.206,5.0145
686.4,425.645,5.0145
688.8,426.086,5.0145
691.2,426.54799,5.0145
693.6,426.97899,5.0145
696,427.43999,5.0145
698.4,427.891,5.0145
700.8,428.342,5.0145
703.2,428.784,5.0145
705.6,429.228,5.0145
708,429.67699,5.0145
710.4,430.12,5.0145
712.8,430.568,5.0145
715.2,431.005,5.0144
717.6,431.44401,5.0144
720,431.88,5.0143
722.4,432.32799,5.0143
724.8,432.768,5.0142
727.2,433.199,5.0142
729.6,433.642,5.0141
732,434.074,5.0141
734.4,434.523,5.0141
736.8,434.958,5.014
739.2,435.38599,5.014
741.6,435.824,5.0139
744,436.255,5.0131
746.4,436.70299,5.0125
748.8,437.12701,5.0122
751.2,437.56299,5.0121
753.6,437.988,5.0119
756,438.41401,5.0118
758.4,438.852,5.0116
760.8,439.284,5.0113
763.2,439.70499,5.0105
765.6,440.14001,5.0101
768,440.566,5.009
770.4,440.986,5.0082
772.8,441.424,5.0077
775.2,441.84,5.0074
777.6,442.277,5.007
780,442.698,5.0068
782.4,443.116,5.0069
784.8,443.545,5.0076
787.2,443.96799,5.0081
789.6,444.38399,5.0084
792,444.822,5.0084
794.4,445.24399,5.0082
796.8,445.663,5.0081
799.2,446.096,5.0079
801.6,446.50699,5.0076
804,446.921,5.0065
806.4,447.348,5.006
808.8,447.76,5.0056
811.2,448.191,5.0051
813.6,448.59901,5.0047
816,449.008,5.0044
818.4,449.43999,5.0041
820.8,449.844,5.004
823.2,450.27601,5.0039
825.6,450.68999,5.0037
828,451.107,5.0034
830.4,451.512,5.0029
832.8,451.93101,5.0025
835.2,452.35799,5.0021
837.6,452.762,5.002
840,453.176,5.002
842.4,453.588,5.002
844.8,454.00201,5.0019
847.2,454.42,5.0017
849.6,454.824,5.0016
852,455.23099,5.0011
854.4,455.655,5.0008
856.8,456.06901,5.0004
859.2,456.47401,4.9999
861.6,456.88199,4.9995
864,457.305,4.9989
866.4,457.72899,4.9983
868.8,458.12501,4.9975
871.2,458.53901,4.997
873.6,458.949,4.9965
876,459.34901,4.996
878.4,459.755,4.9955
880.8,460.17699,4.9948
883.2,460.58401,4.9942
885.6,460.99801,4.994
888,461.407,4.9939
890.4,461.807,4.9936
892.8,462.21599,4.9929
895.2,462.62501,4.9921
897.6,463.027,4.9909
900,463.434,4.9899
902.4,463.86001,4.9896
904.8,464.256,4.9894
907.2,464.66401,4.989
909.6,465.06499,4.9885
912,465.473,4.9878
914.4,465.87501,4.987
916.8,466.28499,4.9864
919.2,466.68999,4.9858
921.6,467.102,4.9855
924,467.512,4.9855
926.4,467.91601,4.9855
928.8,468.307,4.9855
931.2,468.72201,4.9854
933.6,469.13,4.9852
936,469.536,4.984
938.4,469.93,4.982
940.8,470.34099,4.9804
943.2,470.742,4.9794
945.6,471.15301,4.9786
948,471.542,4.978
950.4,471.949,4.9773
952.8,472.353,4.9767
955.2,472.754,4.976
957.6,473.15999,4.9753
960,473.57,4.9746
962.4,473.964,4.9743
964.8,474.37,4.9739
967.2,474.764,4.9736
969.6,475.165,4.9731
972,475.57799,4.9723
974.4,475.965,4.9708
976.8,476.38,4.9696
979.2,476.78,4.9686
981.6,477.17299,4.9672
984,477.577,4.966
986.4,477.97201,4.9647
988.8,478.38801,4.9633
991.2,478.777,4.9625
993.6,479.18101,4.9618
996,479.57101,4.9611
998.4,479.999,4.9604
1000.8,480.387,4.9598
1003.2,480.786,4.9586
1005.6,481.182,4.9576
1008,481.592,4.9567
1010.4,481.99,4.9558
1012.8,482.383,4.9541
1015.2,482.78,4.9525
1017.6,483.183,4.9518
1020,483.588,4.9508
1022.4,483.988,4.9499
1024.8,484.381,4.9489
1027.2,484.78699,4.9458
1029.6,485.17699,4.9451
1032,485.57599,4.9438
1034.4,485.977,4.9428
1036.8,486.37501,4.9409
1039.2,486.773,4.9397
1041.6,487.16401,4.939
1044,487.574,4.9379
1046.4,487.96799,4.9373
1048.8,488.367,4.9363
1051.2,488.758,4.9355
1053.6,489.15999,4.9338
1056,489.564,4.9322
1058.4,489.963,4.9309
1060.8,490.36201,4.9298
1063.2,490.74599,4.9285
1065.6,491.144,4.9264
1068,491.53499,4.9247
1070.4,491.948,4.9232
1072.8,492.34099,4.9215
1075.2,492.738,4.9204
1077.6,493.143,4.9192
1080,493.544,4.9178
1082.4,493.91801,4.9164
1084.8,494.31901,4.9147
1087.2,494.711,4.9128
1089.6,495.113,4.9106
1092,495.50699,4.9096
1094.4,495.90101,4.9083
1096.8,496.30401,4.9072
1099.2,496.697,4.9052
1101.6,497.09501,4.9033
1104,497.486,4.9011
1106.4,497.872,4.8997
1108.8,498.29,4.8983
1111.2,498.682,4.8966
1113.6,499.07799,4.8957
1116,499.491,4.8947
1118.4,499.872,4.8932
1120.8,500.27,4.8909
1123.2,500.678,4.8892
1125.6,501.06,4.8877
1128,501.448,4.8862
1130.4,501.855,4.8841
1132.8,502.24399,4.8812
1135.2,502.626,4.88
1137.6,503.02601,4.8779
1140,503.43101,4.8758
1142.4,503.82,4.873
1144.8,504.219,4.8711
1147.2,504.615,4.8693
1149.6,504.997,4.8669
1152,505.402,4.865
1154.4,505.792,4.862
1156.8,506.193,4.8604
1159.2,506.589,4.8574
1161.6,506.984,4.8547
1164,507.381,4.8516
1166.4,507.77399,4.8495
1168.8,508.17699,4.8473
1171.2,508.56701,4.8449
1173.6,508.96,4.8418
1176,509.35799,4.8397
1178.4,509.75001,4.8366
1180.8,510.159,4.8342
1183.2,510.54301,4.8305
1185.6,510.94601,4.8283
1188,511.331,4.8263
1190.4,511.72899,4.8224
1192.8,512.129,4.8213
1195.2,512.517,4.8182
1197.6,512.91601,4.8135
1200,513.31299,4.8111
1202.4,513.7,4.8083
1204.8,514.09701,4.8051
1207.2,514.497,4.8022
1209.6,514.894,4.7996
1212,515.281,4.7976
1214.4,515.676,4.7952
1216.8,516.07799,4.7909
1219.2,516.47899,4.7888
1221.6,516.88199,4.7866
1224,517.26301,4.7824
1226.4,517.645,4.7791
1228.8,518.057,4.7755
1231.2,518.447,4.7715
1233.6,518.84,4.7671
1236,519.23299,4.7649
1238.4,519.629,4.7625
1240.8,520.02801,4.7595
1243.2,520.415,4.7561
1245.6,520.824,4.7533
1248,521.211,4.7504
1250.4,521.609,4.7471
1252.8,522.006,4.7432
1255.2,522.39001,4.7396
1257.6,522.792,4.7349
1260,523.195,4.7319
1262.4,523.581,4.7274
1264.8,523.97201,4.7233
1267.2,524.37099,4.7192
1269.6,524.76501,4.7146
1272,525.152,4.7112
1274.4,525.557,4.7069
1276.8,525.94601,4.7015
1279.2,526.34,4.697
1281.6,526.74399,4.6922
1284,527.12701,4.6872
1286.4,527.527,4.6837
1288.8,527.91601,4.6799
1291.2,528.309,4.676
1293.6,528.714,4.6717
1296,529.11001,4.6688
1298.4,529.51099,4.6646
1300.8,529.89899,4.6606
1303.2,530.27299,4.6566
1305.6,530.672,4.6517
1308,531.06101,4.6474
1310.4,531.465,4.642
1312.8,531.87,4.637
1315.2,532.25501,4.6321
1317.6,532.65699,4.6274
1320,533.04499,4.6224
1322.4,533.44401,4.6167
1324.8,533.84,4.6117
1327.2,534.236,4.6076
1329.6,534.633,4.6033
1332,535.02399,4.5983
1334.4,535.41199,4.5935
1336.8,535.80701,4.5882
1339.2,536.22501,4.5835
1341.6,536.61201,4.5785
1344,537.00699,4.5735
1346.4,537.387,4.5682
1348.8,537.78599,4.5627
1351.2,538.19401,4.556
1353.6,538.57999,4.5499
1356,538.973,4.5445
1358.4,539.35999,4.539
1360.8,539.75699,4.5332
1363.2,540.146,4.5277
1365.6,540.55701,4.5224
1368,540.94599,4.5163
1370.4,541.34,4.5114
1372.8,541.73401,4.5062
1375.2,542.12601,4.5006
1377.6,542.51499,4.4953
1380,542.91001,4.4887
1382.4,543.30799,4.4824
1384.8,543.69401,4.4769
1387.2,544.098,4.4709
1389.6,544.491,4.4644
1392,544.887,4.4586
1394.4,545.27701,4.4533
1396.8,545.67499,4.4473
1399.2,546.064,4.4418
1401.6,546.46,4.4363
1404,546.85801,4.4303
1406.4,547.25901,4.4238
1408.8,547.63199,4.4178
1411.2,548.038,4.4124
1413.6,548.43101,4.4061
1416,548.82099,4.4005
1418.4,549.22101,4.3935
1420.8,549.60999,4.3868
1423.2,549.99698,4.3814
1425.6,550.387,4.375
1428,550.80302,4.3681
1430.4,551.18601,4.361
1432.8,551.57499,4.3538
1435.2,551.96799,4.3471
1437.6,552.37101,4.3403
1440,552.767,4.3345
1442.4,553.15699,4.3292
1444.8,553.55601,4.3233
1447.2,553.94099,4.3167
1449.6,554.336,4.3106
1452,554.723,4.3038
1454.4,555.12101,4.2979
1456.8,555.51801,4.2919
1459.2,555.91199,4.285
1461.6,556.29801,4.2781
1464,556.69199,4.2712
1466.4,557.089,4.2635
1468.8,557.477,4.2569
1471.2,557.87699,4.2485
1473.6,558.267,4.2419
1476,558.667,4.2345
1478.4,559.05201,4.2266
1480.8,559.447,4.2211
1483.2,559.82999,4.2135
1485.6,560.22501,4.206
1488,560.61799,4.1999
1490.4,561.017,4.1939
1492.8,561.42399,4.1888
1495.2,561.81699,4.183
1497.6,562.20301,4.1767
1500,562.60001,4.169
1502.4,562.99399,4.1617
1504.8,563.383,4.1536
1507.2,563.78101,4.145
1509.6,564.17301,4.1387
1512,564.572,4.1317
1514.4,564.97599,4.124
1516.8,565.357,4.1167
1519.2,565.75699,4.1087
1521.6,566.146,4.1015
1524,566.54099,4.0942
1526.4,566.93101,4.0859
1528.8,567.32499,4.0774
1531.2,567.72001,4.0695
1533.6,568.10999,4.0628
1536,568.50001,4.0563
1538.4,568.89301,4.049
1540.8,569.301,4.0409
1543.2,569.70499,4.0317
1545.6,570.08201,4.0223
1548,570.473,4.0162
1550.4,570.87699,4.0077
1552.8,571.271,4.0003
1555.2,571.667,3.9908
1557.6,572.04499,3.9839
1560,572.44199,3.9756
1562.4,572.84901,3.9677
1564.8,573.23301,3.9605
1567.2,573.633,3.9511
1569.6,574.02601,3.9433
1572,574.426,3.9345
1574.4,574.82099,3.9254
1576.8,575.21299,3.9165
1579.2,575.602,3.9084
1581.6,576.00501,3.8996
1584,576.39799,3.8892
1586.4,576.79301,3.8813
1588.8,577.20099,3.8724
1591.2,577.59601,3.8635
1593.6,577.98499,3.8537
1596,578.37699,3.8447
1598.4,578.779,3.8357
1600.8,579.17301,3.8269
1603.2,579.56,3.8188
1605.6,579.964,3.809
1608,580.353,3.8005
1610.4,580.75501,3.7905
1612.8,581.14799,3.7799
1615.2,581.54001,3.7704
1617.6,581.92399,3.7604
1620,582.327,3.7496
1622.4,582.72901,3.7381
1624.8,583.115,3.7261
1627.2,583.512,3.7151
1629.6,583.913,3.7053
1632,584.29099,3.6954
1634.4,584.684,3.6862
1636.8,585.09501,3.6757
1639.2,585.49299,3.6662
1641.6,585.883,3.653
1644,586.284,3.6409
1646.4,586.68101,3.6327
1648.8,587.07801,3.6199
1651.2,587.46601,3.61
1653.6,587.865,3.5982
1656,588.258,3.5893
1658.4,588.65101,3.5765
1660.8,589.047,3.5651
1663.2,589.448,3.555
1665.6,589.84699,3.5438
1668,590.23499,3.5328
1670.4,590.62601,3.5205
1672.8,591.021,3.5097
1675.2,591.417,3.4966
1677.6,591.82099,3.4795
1680,592.215,3.4668
1682.4,592.60499,3.4545
1684.8,593.00599,3.4455
1687.2,593.4,3.4358
1689.6,593.78501,3.4255
1692,594.19199,3.4131
1694.4,594.589,3.4015
1696.8,594.977,3.3888
1699.2,595.38199,3.375
1701.6,595.766,3.3584
1704,596.16599,3.3445
1706.4,596.559,3.3342
1708.8,596.96299,3.3242
1711.2,597.34501,3.3141
1713.6,597.74799,3.304
1716,598.14701,3.2891
1718.4,598.53699,3.2734
1720.8,598.939,3.2557
1723.2,599.327,3.2442
1725.6,599.723,3.2308
1728,600.11899,3.2199
1730.4,600.512,3.2093
1732.8,600.90699,3.1948
1735.2,601.30201,3.1815
1737.6,601.69599,3.1688
1740,602.08201,3.1519
1742.4,602.48499,3.139
1744.8,602.89399,3.1259
1747.2,603.275,3.1128
1749.6,603.66801,3.0981
1752,604.06199,3.0849
1754.4,604.44999,3.0721
1756.8,604.85599,3.0606
1759.2,605.25699,3.0482
1761.6,605.65601,3.0343
1764,606.03501,3.0222
1766.4,606.44599,3.0083
1768.8,606.82999,2.9954
1771.2,607.227,2.9792
1773.6,607.62,2.9652
1776,608.017,2.9511
1778.4,608.408,2.9381
1780.8,608.81299,2.924
1783.2,609.19901,2.91
1785.6,609.59199,2.8963
1788,609.98899,2.8827
1790.4,610.38099,2.8693
1792.8,610.78199,2.8541
1795.2,611.18,2.8402
1797.6,611.572,2.8266
1800,611.97501,2.8122
1802.4,612.36701,2.7967
1804.8,612.77201,2.7808
1807.2,613.16199,2.7668
1809.6,613.54499,2.7525
1812,613.95499,2.7376
1814.4,614.35499,2.7219
1816.8,614.74698,2.706
1819.2,615.14799,2.6908
1821.6,615.54401,2.6761
1824,615.93601,2.6607
1826.4,616.32999,2.6439
1828.8,616.72199,2.6277
1831.2,617.12299,2.6126
1833.6,617.516,2.5977
1836,617.91901,2.5821
1838.4,618.31299,2.5654
1840.8,618.697,2.548
1843.2,619.102,2.5322
1845.6,619.49399,2.515
1848,619.88499,2.4979
1850.4,620.301,2.4812
1852.8,620.684,2.4631
1855.2,621.07999,2.4457
1857.6,621.48401,2.4283
1860,621.88999,2.4104
1862.4,622.27201,2.3932
1864.8,622.67301,2.3747
1867.2,623.068,2.3564
1869.6,623.46799,2.3383
1872,623.85999,2.3194
1874.4,624.26099,2.2998
1876.8,624.65101,2.2803
1879.2,625.034,2.2625
1881.6,625.443,2.2442
1884,625.82801,2.2248
1886.4,626.23801,2.2057
1888.8,626.63599,2.1857
1891.2,627.021,2.1668
1893.6,627.421,2.1484
1896,627.81699,2.1287
1898.4,628.22001,2.1099
1900.8,628.615,2.0903
1903.2,629.00699,2.0703
1905.6,629.40299,2.051
1908,629.79999,2.0311
1910.4,630.19099,2.0121
1912.8,630.58701,1.9931
1915.2,630.995,1.9742
1917.6,631.39301,1.9542
1920,631.78699,1.9356
1922.4,632.198,1.9166
1924.8,632.598,1.8972
1927.2,633.01499,1.8784
1929.6,633.41801,1.8597
1932,633.82499,1.842
1934.4,634.23499,1.825
1936.8,634.646,1.8072
1939.2,635.059,1.789
1941.6,635.47001,1.772
1944,635.88999,1.7555
1946.4,636.30701,1.7394
1948.8,636.728,1.7241
1951.2,637.13001,1.7081
1953.6,637.54401,1.6931
1956,637.94599,1.679
1958.4,638.361,1.6637
1960.8,638.75901,1.6505
1963.2,639.154,1.639
1965.6,639.555,1.6285
1968,639.94099,1.618
1970.4,640.32899,1.6077
1972.8,640.72199,1.598
1975.2,641.116,1.5887
1977.6,641.50101,1.579
1980,641.89399,1.5697
1982.4,642.28501,1.5604
1984.8,642.671,1.5516
1987.2,643.05601,1.5439
1989.6,643.443,1.5355
1992,643.836,1.5275
1994.4,644.215,1.5215
1996.8,644.59699,1.5159
1999.2,644.98701,1.5114
2001.6,645.35401,1.5065
2004,645.73499,1.5023
2006.4,646.124,1.4986
2008.8,646.51899,1.4948
2011.2,646.90299,1.4916
2013.6,647.27399,1.4872
2016,647.65699,1.4848
2018.4,648.04099,1.4809
2020.8,648.43,1.4777
2023.2,648.80701,1.4748
2025.6,649.189,1.4725
2028,649.57401,1.4708
2030.4,649.956,1.4686
2032.8,650.34101,1.4653
2035.2,650.73301,1.4645
2037.6,651.12101,1.4619
2040,651.52399,1.4599
2042.4,651.89701,1.4572
2044.8,652.28101,1.4557
2047.2,652.68,1.4536
2049.6,653.07401,1.4514
2052,653.45399,1.4489
2054.4,653.844,1.4474
2056.8,654.24399,1.4453
2059.2,654.629,1.4434
2061.6,655.01899,1.4413
2064,655.41401,1.4386
2066.4,655.809,1.4368
2068.8,656.18799,1.435
2071.2,656.58301,1.4332
2073.6,656.98301,1.4317
2076,657.37501,1.4288
2078.4,657.77399,1.4276
2080.8,658.16901,1.4262
2083.2,658.56699,1.4247
2085.6,658.973,1.4227
2088,659.34601,1.4207
2090.4,659.745,1.4179
2092.8,660.154,1.4162
2095.2,660.542,1.4144
2097.6,660.94001,1.4129
2100,661.344,1.4109
2102.4,661.73801,1.4092
2104.8,662.12501,1.4099
2107.2,662.533,1.4102
2109.6,662.93101,1.4085
2112,663.32999,1.4065
2114.4,663.727,1.4035
2116.8,664.124,1.4021
2119.2,664.52399,1.4002
2121.6,664.91999,1.3979
2124,665.322,1.3952
2126.4,665.72599,1.3935
2128.8,666.11399,1.3909
2131.2,666.50599,1.3892
2133.6,666.9,1.388
2136,667.31101,1.3863
2138.4,667.697,1.3847
2140.8,668.10999,1.3825
2143.2,668.50999,1.3805
2145.6,668.90299,1.3786
2148,669.30201,1.3763
2150.4,669.70701,1.3744
2152.8,670.10099,1.3721
2155.2,670.49601,1.3703
2157.6,670.895,1.3684
2160,671.292,1.3667
2162.4,671.69001,1.3643
2164.8,672.09299,1.3628
2167.2,672.48801,1.3613
2169.6,672.88999,1.3596
2172,673.30201,1.3579
2174.4,673.69901,1.3565
2176.8,674.08201,1.3547
2179.2,674.47901,1.3524
2181.6,674.88001,1.3513
2184,675.27601,1.3497
2186.4,675.676,1.348
2188.8,676.07499,1.346
2191.2,676.482,1.3443
2193.6,676.87299,1.3423
2196,677.26899,1.3403
2198.4,677.672,1.3385
2200.8,678.06901,1.3366
2203.2,678.46699,1.3351
2205.6,678.87198,1.3321
2208,679.26801,1.3311
2210.4,679.658,1.3297
2212.8,680.05799,1.3277
2215.2,680.45801,1.3263
2217.6,680.857,1.3245
2220,681.23701,1.3229
2222.4,681.64301,1.3207
2224.8,682.046,1.3189
2227.2,682.434,1.3172
2229.6,682.839,1.3148
2232,683.24201,1.3147
2234.4,683.63199,1.3134
2236.8,684.03599,1.3105
2239.2,684.43,1.3089
2241.6,684.831,1.3069
2244,685.22599,1.3038
2246.4,685.615,1.3029
2248.8,686.02601,1.3014
2251.2,686.409,1.2999
2253.6,686.80701,1.2982
2256,687.21601,1.2963
2258.4,687.611,1.2944
2260.8,688.01499,1.2919
2263.2,688.40299,1.2903
2265.6,688.788,1.2888
2268,689.197,1.2866
2270.4,689.58799,1.2852
2272.8,689.98701,1.2838
2275.2,690.38901,1.2811
2277.6,690.76801,1.2799
2280,691.17301,1.2786
2282.4,691.56501,1.2766
2284.8,691.96201,1.275
2287.2,692.36201,1.2722
2289.6,692.749,1.2709
2292,693.158,1.2692
2294.4,693.55201,1.267
2296.8,693.94901,1.265
2299.2,694.361,1.2623
2301.6,694.753,1.2608
2304,695.14899,1.2593
2306.4,695.54401,1.2575
2308.8,695.943,1.256
2311.2,696.335,1.2549
2313.6,696.74201,1.2523
2316,697.137,1.251
2318.4,697.542,1.2491
2320.8,697.93299,1.2473
2323.2,698.323,1.2455
2325.6,698.728,1.2426
2328,699.12299,1.2406
2330.4,699.521,1.2387
2332.8,699.91801,1.2366
2335.2,700.32401,1.2344
2337.6,700.714,1.2327
2340,701.124,1.2307
2342.4,701.50199,1.229
2344.8,701.89799,1.2272
2347.2,702.30399,1.2242
2349.6,702.70499,1.2236
2352,703.103,1.2219
2354.4,703.50101,1.2195
2356.8,703.89301,1.2165
2359.2,704.296,1.2158
2361.6,704.70099,1.2136
2364,705.09,1.2119
2366.4,705.49299,1.2087
2368.8,705.88499,1.208
2371.2,706.28,1.206
2373.6,706.67701,1.2037
2376,707.081,1.2014
2378.4,707.473,1.1989
2380.8,707.87601,1.1976
2383.2,708.28199,1.1955
2385.6,708.66999,1.1939
2388,709.077,1.1922
2390.4,709.46601,1.1899
2392.8,709.866,1.188
2395.2,710.254,1.186
2397.6,710.654,1.1838
2400,711.04999,1.1817
2402.4,711.44999,1.1782
2404.8,711.84299,1.1773
2407.2,712.25101,1.1756
2409.6,712.64799,1.1735
2412,713.042,1.1712
2414.4,713.448,1.1691
2416.8,713.83799,1.1677
2419.2,714.241,1.1651
2421.6,714.641,1.1627
2424,715.03699,1.1609
2426.4,715.42802,1.158
2428.8,715.82401,1.1568
2431.2,716.22901,1.1549
2433.6,716.62101,1.1526
2436,717.02201,1.1508
2438.4,717.41901,1.149
2440.8,717.81101,1.1462
2443.2,718.21,1.1449
2445.6,718.61301,1.1426
2448,719.017,1.1398
2450.4,719.41501,1.1371
2452.8,719.80601,1.1352
2455.2,720.20399,1.1328
2457.6,720.59901,1.1308
2460,721.00199,1.1291
2462.4,721.391,1.1264
2464.8,721.79801,1.1248
2467.2,722.19099,1.1232
2469.6,722.603,1.1215
2472,722.99399,1.1201
2474.4,723.38999,1.1186
2476.8,723.783,1.1184
