Time (s),Temperature (K),Mass (mg)
0.0,293.2,5.500
4.8,293.2,5.492
9.6,293.2,5.517
14.4,293.2,5.533
19.2,293.2,5.520
24.0,293.3,5.513
28.8,293.3,5.512
33.6,293.3,5.515
38.4,293.4,5.518
43.2,293.4,5.518
48.0,293.5,5.518
52.8,293.5,5.518
57.6,293.6,5.520
62.4,293.7,5.523
67.2,293.8,5.523
72.0,293.9,5.522
76.8,294.1,5.522
81.6,294.2,5.523
86.4,294.4,5.523
95.8,294.7,5.523
119.8,296.0,5.518
143.8,297.6,5.516
167.8,299.3,5.513
191.8,301.2,5.511
215.8,303.0,5.508
239.8,304.8,5.506
263.8,306.5,5.501
287.8,308.1,5.495
311.8,309.5,5.491
335.8,310.7,5.490
359.8,311.7,5.486
383.8,312.6,5.486
407.8,313.4,5.485
431.8,314.0,5.480
455.8,314.5,5.480
479.8,315.0,5.479
503.8,315.3,5.478
527.8,315.5,5.476
551.8,315.7,5.471
575.8,315.8,5.475
599.8,315.8,5.474
623.8,315.9,5.475
647.8,315.8,5.472
671.8,315.7,5.474
695.8,315.7,5.472
719.8,315.6,5.472
743.8,315.4,5.473
767.8,315.3,5.471
791.8,315.2,5.475
815.8,315.0,5.473
839.8,314.9,5.472
863.8,314.7,5.472
887.8,314.6,5.472
911.8,314.4,5.472
935.8,314.3,5.474
959.8,314.1,5.472
983.8,314.0,5.471
1007.8,313.9,5.472
1031.8,313.8,5.471
1055.8,313.7,5.470
1079.8,313.6,5.472
1103.8,313.5,5.474
1127.8,313.4,5.474
1151.8,313.3,5.474
1175.8,313.3,5.474
1199.8,313.2,5.474
1223.8,313.1,5.474
1247.8,313.1,5.474
1271.8,313.1,5.471
1295.8,313.1,5.473
1319.8,313.0,5.476
1343.8,313.0,5.478
1367.8,313.0,5.477
1391.8,313.0,5.476
1415.8,313.0,5.476
1439.8,313.0,5.475
1463.8,313.0,5.475
1487.8,313.0,5.477
1511.8,313.0,5.477
1535.8,313.0,5.479
1559.8,313.0,5.478
1583.8,313.0,5.478
1607.8,313.0,5.478
1631.8,313.0,5.480
1655.8,313.0,5.480
1679.8,313.0,5.480
1703.8,313.0,5.482
1727.8,313.0,5.479
1751.8,313.0,5.479
1775.8,313.0,5.481
1799.8,313.0,5.479
1823.8,313.0,5.476
1847.8,313.0,5.477
1871.8,313.0,5.476
1890.5,313.0,5.480
1892.9,313.0,5.480
1895.3,313.0,5.480
1897.7,313.1,5.480
1900.1,313.0,5.480
1902.5,313.0,5.481
1904.9,313.1,5.481
1907.3,313.1,5.481
1909.7,313.1,5.481
1912.1,313.1,5.481
1914.5,313.1,5.481
1916.9,313.1,5.481
1919.3,313.1,5.481
1921.7,313.1,5.482
1924.1,313.1,5.482
1926.5,313.1,5.482
1928.9,313.2,5.481
1931.3,313.2,5.480
1933.7,313.2,5.480
1936.1,313.2,5.480
1938.5,313.3,5.480
1940.9,313.3,5.481
1943.3,313.4,5.481
1945.7,313.4,5.482
1948.1,313.4,5.482
1950.5,313.5,5.482
1952.9,313.5,5.482
1955.3,313.6,5.482
1957.7,313.6,5.481
1960.1,313.7,5.481
1962.5,313.8,5.482
1964.9,313.8,5.482
1967.3,313.9,5.482
1969.7,314.0,5.483
1972.1,314.1,5.484
1974.5,314.1,5.484
1976.9,314.2,5.483
1979.3,314.4,5.483
1981.7,314.5,5.483
1984.1,314.5,5.484
1986.5,314.7,5.484
1988.9,314.8,5.484
1991.3,314.9,5.483
1993.7,315.0,5.483
1996.1,315.2,5.483
1998.5,315.3,5.482
2000.9,315.5,5.483
2003.3,315.6,5.483
2005.7,315.8,5.484
2008.1,315.9,5.485
2010.5,316.1,5.484
2012.9,316.3,5.484
2015.3,316.4,5.484
2017.7,316.6,5.483
2020.1,316.8,5.484
2022.5,317.0,5.484
2024.9,317.2,5.486
2027.3,317.4,5.486
2029.7,317.6,5.485
2032.1,317.9,5.485
2034.5,318.1,5.484
2036.9,318.3,5.484
2039.3,318.6,5.484
2041.7,318.8,5.485
2044.1,319.1,5.485
2046.5,319.3,5.485
2048.9,319.6,5.486
2051.3,319.9,5.486
2053.7,320.1,5.484
2056.1,320.4,5.484
2058.5,320.7,5.484
2060.9,321.0,5.483
2063.3,321.3,5.484
2065.7,321.6,5.485
2068.1,321.9,5.485
2070.5,322.3,5.485
2072.9,322.6,5.484
2075.3,322.9,5.484
2077.7,323.2,5.484
2080.1,323.6,5.484
2082.5,323.9,5.483
2084.9,324.3,5.482
2087.3,324.7,5.483
2089.7,325.0,5.483
2092.1,325.4,5.483
2094.5,325.8,5.483
2096.9,326.1,5.482
2099.3,326.5,5.482
2101.7,326.9,5.481
2104.1,327.3,5.482
2106.5,327.7,5.482
2108.9,328.1,5.481
2111.3,328.5,5.482
2113.7,328.9,5.482
2116.1,329.4,5.481
2118.5,329.8,5.481
2120.9,330.2,5.481
2123.3,330.7,5.481
2125.7,331.1,5.481
2128.1,331.5,5.481
2130.5,332.0,5.480
2132.9,332.4,5.480
2135.3,332.9,5.480
2137.7,333.4,5.481
2140.1,333.8,5.481
2142.5,334.3,5.481
2144.9,334.8,5.481
2147.3,335.2,5.480
2149.7,335.7,5.481
2152.1,336.2,5.481
2154.5,336.7,5.481
2156.9,337.1,5.480
2159.3,337.7,5.480
2161.7,338.2,5.479
2164.1,338.7,5.479
2166.5,339.2,5.479
2168.9,339.7,5.478
2171.3,340.1,5.478
2173.7,340.7,5.478
2176.1,341.2,5.477
2178.5,341.7,5.477
2180.9,342.2,5.476
2183.3,342.7,5.476
2185.7,343.2,5.477
2188.1,343.7,5.477
2190.5,344.3,5.478
2192.9,344.8,5.478
2195.3,345.3,5.478
2197.7,345.8,5.478
2200.1,346.4,5.477
2202.5,346.9,5.477
2204.9,347.4,5.477
2207.3,348.0,5.477
2209.7,348.5,5.477
2212.1,349.0,5.477
2214.5,349.6,5.476
2216.9,350.1,5.476
2219.3,350.6,5.475
2221.7,351.2,5.475
2224.1,351.7,5.476
2226.5,352.2,5.476
2228.9,352.8,5.476
2231.3,353.3,5.476
2233.7,353.9,5.475
2236.1,354.4,5.475
2238.5,355.0,5.475
2240.9,355.5,5.475
2243.3,356.0,5.475
2245.7,356.6,5.475
2248.1,357.1,5.476
2250.5,357.6,5.475
2252.9,358.2,5.474
2255.3,358.7,5.474
2257.7,359.3,5.474
2260.1,359.8,5.475
2262.5,360.4,5.475
2264.9,360.9,5.475
2267.3,361.5,5.475
2269.7,362.0,5.476
2272.1,362.5,5.476
2274.5,363.1,5.476
2276.9,363.7,5.476
2279.3,364.2,5.475
2281.7,364.7,5.474
2284.1,365.3,5.474
2286.5,365.8,5.473
2288.9,366.3,5.474
2291.3,366.9,5.474
2293.7,367.4,5.474
2296.1,368.0,5.473
2298.5,368.6,5.473
2300.9,369.1,5.473
2303.3,369.6,5.473
2305.7,370.2,5.473
2308.1,370.7,5.473
2310.5,371.2,5.473
2312.9,371.8,5.473
2315.3,372.3,5.473
2317.7,372.9,5.473
2320.1,373.4,5.473
2322.5,373.9,5.473
2324.9,374.5,5.473
2327.3,375.0,5.473
2329.7,375.5,5.474
2332.1,376.1,5.474
2334.5,376.6,5.474
2336.9,377.1,5.474
2339.3,377.6,5.474
2341.7,378.2,5.474
2344.1,378.7,5.474
2346.5,379.2,5.474
2348.9,379.7,5.474
2351.3,380.3,5.474
2353.7,380.8,5.474
2356.1,381.3,5.474
2358.5,381.8,5.474
2360.9,382.4,5.473
2363.3,382.9,5.473
2365.7,383.4,5.473
2368.1,383.9,5.473
2370.5,384.4,5.473
2372.9,384.9,5.473
2375.3,385.4,5.473
2377.7,385.9,5.473
2380.1,386.5,5.472
2382.5,387.0,5.472
2384.9,387.5,5.472
2387.3,388.0,5.472
2389.7,388.5,5.472
2392.1,389.0,5.472
2394.5,389.5,5.472
2396.9,390.0,5.472
2399.3,390.5,5.471
2401.7,391.0,5.471
2404.1,391.5,5.471
2406.5,392.0,5.471
2408.9,392.5,5.471
2411.3,393.0,5.471
2413.7,393.5,5.471
2416.1,394.0,5.471
2418.5,394.5,5.471
2420.9,395.0,5.471
2423.3,395.5,5.471
2425.7,396.0,5.471
2428.1,396.5,5.471
2430.5,397.0,5.471
2432.9,397.5,5.471
2435.3,397.9,5.471
2437.7,398.4,5.471
2440.1,398.9,5.471
2442.5,399.4,5.471
2444.9,399.9,5.471
2447.3,400.4,5.471
2449.7,400.9,5.471
2452.1,401.3,5.471
2454.5,401.8,5.471
2456.9,402.3,5.471
2459.3,402.8,5.471
2461.7,403.3,5.471
2464.1,403.8,5.471
2466.5,404.2,5.471
2468.9,404.7,5.471
2471.3,405.2,5.471
2473.7,405.7,5.471
2476.1,406.2,5.471
